precision_fixed,recall_fixed,total_cost_fixed,n_flagged_fixed,best_threshold,best_total_cost,best_n_flagged,b
1.0,1.0,3553.1516756300744,26,0.5285064087406933,3553.1516756300744,26,115
1.0,1.0,0.0,28,0.5285064087406933,0.0,28,116
1.0,1.0,1776.5758378150372,22,0.5285064087406933,1776.5758378150372,22,117
1.0,1.0,0.0,24,0.6875736669473631,0.0,24,118
1.0,1.0,0.0,23,0.5285064087406933,0.0,23,119
1.0,1.0,1776.5758378150372,29,0.5285064087406933,1776.5758378150372,29,120
1.0,1.0,1776.5758378150372,26,0.5285064087406933,1776.5758378150372,26,121
1.0,1.0,1776.5758378150372,28,0.889069257965752,1776.5758378150372,28,122
1.0,1.0,3553.1516756300744,19,0.5285064087406933,3553.1516756300744,19,123
1.0,1.0,0.0,22,0.889069257965752,0.0,22,124
1.0,1.0,1776.5758378150372,24,0.5285064087406933,1776.5758378150372,24,125
1.0,1.0,0.0,28,0.6875736669473631,0.0,28,126
1.0,1.0,0.0,25,0.5285064087406933,0.0,25,127
1.0,1.0,1776.5758378150372,28,0.6875736669473631,1776.5758378150372,28,128
1.0,1.0,0.0,29,0.5285064087406933,0.0,29,129
1.0,1.0,0.0,26,0.5285064087406933,0.0,26,130
1.0,1.0,0.0,31,0.5285064087406933,0.0,31,131
1.0,1.0,3553.1516756300744,31,0.5285064087406933,3553.1516756300744,31,132
1.0,1.0,0.0,29,0.5285064087406933,0.0,29,133
1.0,1.0,5329.727513445112,28,0.6875736669473631,5329.727513445112,28,134
1.0,1.0,1776.5758378150372,30,0.5285064087406933,1776.5758378150372,30,135
1.0,1.0,1776.5758378150372,24,0.5285064087406933,1776.5758378150372,24,136
1.0,1.0,0.0,32,0.6875736669473631,0.0,32,137
1.0,1.0,0.0,24,0.926097564296077,0.0,24,138
1.0,1.0,1776.5758378150372,24,0.5285064087406933,1776.5758378150372,24,139
1.0,1.0,1776.5758378150372,21,0.5285064087406933,1776.5758378150372,21,140
1.0,1.0,0.0,25,0.6875736669473631,0.0,25,141
1.0,1.0,3553.1516756300744,26,0.5285064087406933,3553.1516756300744,26,142
1.0,1.0,0.0,25,0.5285064087406933,0.0,25,143
1.0,1.0,0.0,26,0.5285064087406933,0.0,26,144
1.0,1.0,0.0,22,0.889069257965752,0.0,22,145
1.0,1.0,3553.1516756300744,28,0.5285064087406933,3553.1516756300744,28,146
1.0,1.0,0.0,27,0.889069257965752,0.0,27,147
1.0,1.0,3553.1516756300744,26,0.6875736669473631,3553.1516756300744,26,148
1.0,1.0,1776.5758378150372,35,0.5285064087406933,1776.5758378150372,35,149
1.0,1.0,1776.5758378150372,27,0.5285064087406933,1776.5758378150372,27,150
1.0,1.0,1776.5758378150372,25,0.5285064087406933,1776.5758378150372,25,151
1.0,1.0,3553.1516756300744,23,0.5285064087406933,3553.1516756300744,23,152
1.0,1.0,0.0,23,0.5285064087406933,0.0,23,153
1.0,1.0,3553.1516756300744,29,0.5285064087406933,3553.1516756300744,29,154
1.0,1.0,3553.1516756300744,29,0.5285064087406933,3553.1516756300744,29,155
1.0,1.0,1776.5758378150372,24,0.5285064087406933,1776.5758378150372,24,156
1.0,1.0,0.0,27,0.5285064087406933,0.0,27,157
1.0,1.0,5329.727513445112,30,0.5285064087406933,5329.727513445112,30,158
1.0,1.0,0.0,25,0.5285064087406933,0.0,25,159
1.0,1.0,0.0,34,0.5285064087406933,0.0,34,160
1.0,1.0,3553.1516756300744,23,0.6875736669473631,3553.1516756300744,23,161
1.0,1.0,0.0,23,0.6875736669473631,0.0,23,162
1.0,1.0,0.0,23,0.6875736669473631,0.0,23,163
1.0,1.0,0.0,26,0.6875736669473631,0.0,26,164
1.0,1.0,0.0,20,0.6875736669473631,0.0,20,165
1.0,1.0,1776.5758378150372,24,0.6875736669473631,1776.5758378150372,24,166
1.0,1.0,0.0,23,0.889069257965752,0.0,23,167
1.0,1.0,5329.727513445112,16,0.6875736669473631,5329.727513445112,16,168
1.0,1.0,3553.1516756300744,20,0.6875736669473631,3553.1516756300744,20,169
1.0,1.0,0.0,26,0.6875736669473631,0.0,26,170
1.0,1.0,0.0,27,0.5285064087406933,0.0,27,171
1.0,1.0,5329.727513445112,28,0.5285064087406933,5329.727513445112,28,172
1.0,1.0,0.0,29,0.5285064087406933,0.0,29,173
1.0,1.0,3553.1516756300744,37,0.6875736669473631,3553.1516756300744,37,174
1.0,1.0,5329.727513445112,29,0.5285064087406933,5329.727513445112,29,175
1.0,1.0,1776.5758378150372,21,0.5285064087406933,1776.5758378150372,21,176
1.0,1.0,0.0,31,0.5285064087406933,0.0,31,177
1.0,1.0,0.0,20,0.5285064087406933,0.0,20,178
1.0,1.0,3553.1516756300744,25,0.5285064087406933,3553.1516756300744,25,179
1.0,1.0,3553.1516756300744,27,0.6875736669473631,3553.1516756300744,27,180
1.0,1.0,1776.5758378150372,26,0.5285064087406933,1776.5758378150372,26,181
1.0,1.0,0.0,33,0.5285064087406933,0.0,33,182
1.0,1.0,1776.5758378150372,21,0.5285064087406933,1776.5758378150372,21,183
1.0,1.0,3553.1516756300744,25,0.5285064087406933,3553.1516756300744,25,184
1.0,1.0,7106.303351260149,28,0.5285064087406933,7106.303351260149,28,185
1.0,1.0,3553.1516756300744,38,0.5285064087406933,3553.1516756300744,38,186
1.0,1.0,1776.5758378150372,25,0.5285064087406933,1776.5758378150372,25,187
1.0,1.0,3553.1516756300744,30,0.6875736669473631,3553.1516756300744,30,188
1.0,1.0,3553.1516756300744,25,0.5285064087406933,3553.1516756300744,25,189
1.0,1.0,0.0,19,0.5285064087406933,0.0,19,190
1.0,1.0,0.0,25,0.5285064087406933,0.0,25,191
1.0,1.0,1776.5758378150372,23,0.5285064087406933,1776.5758378150372,23,192
1.0,1.0,3553.1516756300744,24,0.6875736669473631,3553.1516756300744,24,193
1.0,1.0,0.0,22,0.6875736669473631,0.0,22,194
1.0,1.0,5329.727513445112,26,0.5285064087406933,5329.727513445112,26,195
1.0,1.0,1776.5758378150372,22,0.6875736669473631,1776.5758378150372,22,196
1.0,1.0,3553.1516756300744,26,0.5285064087406933,3553.1516756300744,26,197
1.0,1.0,7106.303351260149,22,0.5285064087406933,7106.303351260149,22,198
1.0,1.0,1776.5758378150372,21,0.889069257965752,1776.5758378150372,21,199
1.0,1.0,3553.1516756300744,23,0.5285064087406933,3553.1516756300744,23,200
1.0,1.0,1776.5758378150372,35,0.5285064087406933,1776.5758378150372,35,201
1.0,1.0,3553.1516756300744,21,0.889069257965752,3553.1516756300744,21,202
1.0,1.0,1776.5758378150372,30,0.6875736669473631,1776.5758378150372,30,203
1.0,1.0,1776.5758378150372,22,0.6875736669473631,1776.5758378150372,22,204
1.0,1.0,5329.727513445112,27,0.5285064087406933,5329.727513445112,27,205
1.0,1.0,0.0,27,0.5285064087406933,0.0,27,206
1.0,1.0,1776.5758378150372,19,0.5285064087406933,1776.5758378150372,19,207
1.0,1.0,1776.5758378150372,23,0.5285064087406933,1776.5758378150372,23,208
1.0,1.0,1776.5758378150372,23,0.6875736669473631,1776.5758378150372,23,209
1.0,1.0,1776.5758378150372,25,0.5285064087406933,1776.5758378150372,25,210
1.0,1.0,1776.5758378150372,15,0.6875736669473631,1776.5758378150372,15,211
1.0,1.0,1776.5758378150372,26,0.5285064087406933,1776.5758378150372,26,212
1.0,1.0,3553.1516756300744,27,0.5285064087406933,3553.1516756300744,27,213
1.0,1.0,1776.5758378150372,24,0.5285064087406933,1776.5758378150372,24,214
1.0,1.0,7106.303351260149,28,0.5285064087406933,7106.303351260149,28,215
1.0,1.0,1776.5758378150372,25,0.5285064087406933,1776.5758378150372,25,216
1.0,1.0,0.0,26,0.6875736669473631,0.0,26,217
1.0,1.0,0.0,21,0.5285064087406933,0.0,21,218
1.0,1.0,3553.1516756300744,26,0.6875736669473631,3553.1516756300744,26,219
1.0,1.0,3553.1516756300744,30,0.5285064087406933,3553.1516756300744,30,220
1.0,1.0,3553.1516756300744,20,0.5285064087406933,3553.1516756300744,20,221
1.0,1.0,1776.5758378150372,26,0.5285064087406933,1776.5758378150372,26,222
1.0,1.0,1776.5758378150372,24,0.5285064087406933,1776.5758378150372,24,223
1.0,1.0,5329.727513445112,28,0.5285064087406933,5329.727513445112,28,224
1.0,1.0,1776.5758378150372,30,0.6875736669473631,1776.5758378150372,30,225
1.0,1.0,1776.5758378150372,28,0.5285064087406933,1776.5758378150372,28,226
1.0,1.0,1776.5758378150372,16,0.6875736669473631,1776.5758378150372,16,227
1.0,1.0,1776.5758378150372,31,0.5285064087406933,1776.5758378150372,31,228
1.0,1.0,1776.5758378150372,27,0.926097564296077,1776.5758378150372,27,229
1.0,1.0,1776.5758378150372,24,0.6875736669473631,1776.5758378150372,24,230
1.0,1.0,5329.727513445112,28,0.889069257965752,5329.727513445112,28,231
1.0,1.0,3553.1516756300744,26,0.5285064087406933,3553.1516756300744,26,232
1.0,1.0,1776.5758378150372,21,0.5285064087406933,1776.5758378150372,21,233
1.0,1.0,3553.1516756300744,30,0.5285064087406933,3553.1516756300744,30,234
1.0,1.0,0.0,29,0.5285064087406933,0.0,29,235
1.0,1.0,1776.5758378150372,27,0.5285064087406933,1776.5758378150372,27,236
1.0,1.0,0.0,24,0.5285064087406933,0.0,24,237
1.0,1.0,0.0,28,0.5285064087406933,0.0,28,238
1.0,1.0,1776.5758378150372,27,0.926097564296077,1776.5758378150372,27,239
1.0,1.0,0.0,25,0.5285064087406933,0.0,25,240
1.0,1.0,1776.5758378150372,25,0.5285064087406933,1776.5758378150372,25,241
1.0,1.0,0.0,24,0.5285064087406933,0.0,24,242
1.0,1.0,1776.5758378150372,27,0.889069257965752,1776.5758378150372,27,243
1.0,1.0,0.0,27,0.5285064087406933,0.0,27,244
1.0,1.0,3553.1516756300744,29,0.6875736669473631,3553.1516756300744,29,245
1.0,1.0,1776.5758378150372,30,0.5285064087406933,1776.5758378150372,30,246
1.0,1.0,0.0,26,0.5285064087406933,0.0,26,247
1.0,1.0,0.0,20,0.6875736669473631,0.0,20,248
1.0,1.0,0.0,25,0.5285064087406933,0.0,25,249
1.0,1.0,5329.727513445112,29,0.5285064087406933,5329.727513445112,29,250
1.0,1.0,1776.5758378150372,28,0.5285064087406933,1776.5758378150372,28,251
1.0,1.0,0.0,20,0.6875736669473631,0.0,20,252
1.0,1.0,1776.5758378150372,23,0.9469338323659244,1776.5758378150372,23,253
1.0,1.0,5329.727513445112,33,0.926097564296077,5329.727513445112,33,254
1.0,1.0,1776.5758378150372,22,0.6875736669473631,1776.5758378150372,22,255
1.0,1.0,0.0,23,0.5285064087406933,0.0,23,256
1.0,1.0,1776.5758378150372,21,0.889069257965752,1776.5758378150372,21,257
1.0,1.0,1776.5758378150372,33,0.5285064087406933,1776.5758378150372,33,258
1.0,1.0,5329.727513445112,20,0.5285064087406933,5329.727513445112,20,259
1.0,1.0,1776.5758378150372,25,0.6875736669473631,1776.5758378150372,25,260
1.0,1.0,1776.5758378150372,34,0.5285064087406933,1776.5758378150372,34,261
1.0,1.0,5329.727513445112,23,0.6875736669473631,5329.727513445112,23,262
1.0,1.0,1776.5758378150372,24,0.6875736669473631,1776.5758378150372,24,263
1.0,1.0,1776.5758378150372,29,0.5285064087406933,1776.5758378150372,29,264
1.0,1.0,0.0,36,0.5285064087406933,0.0,36,265
1.0,1.0,0.0,25,0.6875736669473631,0.0,25,266
1.0,1.0,1776.5758378150372,23,0.889069257965752,1776.5758378150372,23,267
1.0,1.0,0.0,24,0.5285064087406933,0.0,24,268
1.0,1.0,1776.5758378150372,28,0.6875736669473631,1776.5758378150372,28,269
1.0,1.0,0.0,30,0.5285064087406933,0.0,30,270
1.0,1.0,0.0,26,0.5285064087406933,0.0,26,271
1.0,1.0,1776.5758378150372,27,0.5285064087406933,1776.5758378150372,27,272
1.0,1.0,1776.5758378150372,20,0.889069257965752,1776.5758378150372,20,273
1.0,1.0,0.0,29,0.5285064087406933,0.0,29,274
1.0,1.0,1776.5758378150372,25,0.889069257965752,1776.5758378150372,25,275
1.0,1.0,5329.727513445112,30,0.5285064087406933,5329.727513445112,30,276
1.0,1.0,1776.5758378150372,28,0.5285064087406933,1776.5758378150372,28,277
1.0,1.0,0.0,27,0.5285064087406933,0.0,27,278
1.0,1.0,0.0,28,0.6875736669473631,0.0,28,279
1.0,1.0,3553.1516756300744,24,0.6875736669473631,3553.1516756300744,24,280
1.0,1.0,0.0,27,0.5285064087406933,0.0,27,281
1.0,1.0,1776.5758378150372,22,0.5285064087406933,1776.5758378150372,22,282
1.0,1.0,0.0,27,0.6875736669473631,0.0,27,283
1.0,1.0,0.0,29,0.6875736669473631,0.0,29,284
1.0,1.0,0.0,25,0.6875736669473631,0.0,25,285
1.0,1.0,1776.5758378150372,22,0.5285064087406933,1776.5758378150372,22,286
1.0,1.0,0.0,20,0.5285064087406933,0.0,20,287
1.0,1.0,0.0,25,0.5285064087406933,0.0,25,288
1.0,1.0,1776.5758378150372,30,0.5285064087406933,1776.5758378150372,30,289
1.0,1.0,1776.5758378150372,29,0.6875736669473631,1776.5758378150372,29,290
1.0,1.0,3553.1516756300744,27,0.5285064087406933,3553.1516756300744,27,291
1.0,1.0,1776.5758378150372,24,0.889069257965752,1776.5758378150372,24,292
1.0,1.0,0.0,30,0.6875736669473631,0.0,30,293
1.0,1.0,0.0,25,0.5285064087406933,0.0,25,294
1.0,1.0,5329.727513445112,27,0.6875736669473631,5329.727513445112,27,295
1.0,1.0,0.0,19,0.889069257965752,0.0,19,296
1.0,1.0,3553.1516756300744,26,0.5285064087406933,3553.1516756300744,26,297
1.0,1.0,0.0,30,0.5285064087406933,0.0,30,298
1.0,1.0,5329.727513445112,29,0.6875736669473631,5329.727513445112,29,299
1.0,1.0,0.0,19,0.5285064087406933,0.0,19,300
1.0,1.0,1776.5758378150372,24,0.5285064087406933,1776.5758378150372,24,301
1.0,1.0,1776.5758378150372,23,0.6875736669473631,1776.5758378150372,23,302
1.0,1.0,0.0,25,0.6875736669473631,0.0,25,303
1.0,1.0,3553.1516756300744,22,0.889069257965752,3553.1516756300744,22,304
1.0,1.0,0.0,21,0.9469338323659244,0.0,21,305
1.0,1.0,1776.5758378150372,24,0.5285064087406933,1776.5758378150372,24,306
1.0,1.0,1776.5758378150372,26,0.5285064087406933,1776.5758378150372,26,307
1.0,1.0,3553.1516756300744,31,0.5285064087406933,3553.1516756300744,31,308
1.0,1.0,1776.5758378150372,26,0.5285064087406933,1776.5758378150372,26,309
1.0,1.0,3553.1516756300744,26,0.6875736669473631,3553.1516756300744,26,310
1.0,1.0,1776.5758378150372,28,0.5285064087406933,1776.5758378150372,28,311
1.0,1.0,5329.727513445112,26,0.5285064087406933,5329.727513445112,26,312
1.0,1.0,1776.5758378150372,27,0.889069257965752,1776.5758378150372,27,313
1.0,1.0,0.0,14,0.926097564296077,0.0,14,314
1.0,1.0,1776.5758378150372,21,0.5285064087406933,1776.5758378150372,21,315
1.0,1.0,1776.5758378150372,26,0.6875736669473631,1776.5758378150372,26,316
1.0,1.0,0.0,25,0.5285064087406933,0.0,25,317
1.0,1.0,1776.5758378150372,28,0.9469338323659244,1776.5758378150372,28,318
1.0,1.0,0.0,21,0.5285064087406933,0.0,21,319
1.0,1.0,0.0,28,0.6875736669473631,0.0,28,320
1.0,1.0,1776.5758378150372,26,0.5285064087406933,1776.5758378150372,26,321
1.0,1.0,0.0,22,0.889069257965752,0.0,22,322
1.0,1.0,1776.5758378150372,28,0.5285064087406933,1776.5758378150372,28,323
1.0,1.0,1776.5758378150372,29,0.5285064087406933,1776.5758378150372,29,324
1.0,1.0,0.0,23,0.6875736669473631,0.0,23,325
1.0,1.0,3553.1516756300744,31,0.5285064087406933,3553.1516756300744,31,326
1.0,1.0,0.0,21,0.6875736669473631,0.0,21,327
1.0,1.0,3553.1516756300744,30,0.5285064087406933,3553.1516756300744,30,328
1.0,1.0,1776.5758378150372,21,0.889069257965752,1776.5758378150372,21,329
1.0,1.0,1776.5758378150372,27,0.6875736669473631,1776.5758378150372,27,330
1.0,1.0,1776.5758378150372,32,0.6875736669473631,1776.5758378150372,32,331
1.0,1.0,0.0,23,0.6875736669473631,0.0,23,332
1.0,1.0,1776.5758378150372,27,0.6875736669473631,1776.5758378150372,27,333
1.0,1.0,1776.5758378150372,25,0.889069257965752,1776.5758378150372,25,334
1.0,1.0,0.0,30,0.6875736669473631,0.0,30,335
1.0,1.0,0.0,26,0.5285064087406933,0.0,26,336
1.0,1.0,1776.5758378150372,24,0.5285064087406933,1776.5758378150372,24,337
1.0,1.0,3553.1516756300744,25,0.5285064087406933,3553.1516756300744,25,338
1.0,1.0,1776.5758378150372,23,0.6875736669473631,1776.5758378150372,23,339
1.0,1.0,1776.5758378150372,27,0.5285064087406933,1776.5758378150372,27,340
1.0,1.0,1776.5758378150372,31,0.6875736669473631,1776.5758378150372,31,341
1.0,1.0,0.0,33,0.5285064087406933,0.0,33,342
1.0,1.0,0.0,22,0.5285064087406933,0.0,22,343
1.0,1.0,0.0,24,0.5285064087406933,0.0,24,344
1.0,1.0,3553.1516756300744,28,0.889069257965752,3553.1516756300744,28,345
1.0,1.0,0.0,34,0.5285064087406933,0.0,34,346
1.0,1.0,0.0,28,0.5285064087406933,0.0,28,347
1.0,1.0,3553.1516756300744,26,0.6875736669473631,3553.1516756300744,26,348
1.0,1.0,0.0,20,0.5285064087406933,0.0,20,349
1.0,1.0,0.0,27,0.5285064087406933,0.0,27,350
1.0,1.0,0.0,27,0.5285064087406933,0.0,27,351
1.0,1.0,3553.1516756300744,28,0.5285064087406933,3553.1516756300744,28,352
1.0,1.0,1776.5758378150372,34,0.5285064087406933,1776.5758378150372,34,353
1.0,1.0,0.0,25,0.5285064087406933,0.0,25,354
1.0,1.0,1776.5758378150372,21,0.889069257965752,1776.5758378150372,21,355
1.0,1.0,3553.1516756300744,20,0.6875736669473631,3553.1516756300744,20,356
1.0,1.0,1776.5758378150372,32,0.5285064087406933,1776.5758378150372,32,357
1.0,1.0,1776.5758378150372,30,0.5285064087406933,1776.5758378150372,30,358
1.0,1.0,0.0,31,0.6875736669473631,0.0,31,359
1.0,1.0,0.0,26,0.5285064087406933,0.0,26,360
1.0,1.0,1776.5758378150372,19,0.889069257965752,1776.5758378150372,19,361
1.0,1.0,0.0,28,0.5285064087406933,0.0,28,362
1.0,1.0,1776.5758378150372,28,0.5285064087406933,1776.5758378150372,28,363
1.0,1.0,3553.1516756300744,20,0.6875736669473631,3553.1516756300744,20,364
1.0,1.0,7106.303351260149,29,0.5285064087406933,7106.303351260149,29,365
1.0,1.0,3553.1516756300744,28,0.5285064087406933,3553.1516756300744,28,366
1.0,1.0,3553.1516756300744,24,0.889069257965752,3553.1516756300744,24,367
1.0,1.0,5329.727513445112,31,0.5285064087406933,5329.727513445112,31,368
1.0,1.0,7106.303351260149,25,0.5285064087406933,7106.303351260149,25,369
1.0,1.0,3553.1516756300744,21,0.5285064087406933,3553.1516756300744,21,370
1.0,1.0,1776.5758378150372,21,0.5285064087406933,1776.5758378150372,21,371
1.0,1.0,0.0,27,0.6875736669473631,0.0,27,372
1.0,1.0,3553.1516756300744,27,0.5285064087406933,3553.1516756300744,27,373
1.0,1.0,0.0,24,0.6875736669473631,0.0,24,374
